INFO  [2015-11-10 19:21:55,936] org.apache.spark.Logging$class:59 - Running Spark version 1.5.1 
INFO  [2015-11-10 19:21:57,087] org.apache.spark.Logging$class:59 - Changing view acls to: xuyi 
INFO  [2015-11-10 19:21:57,089] org.apache.spark.Logging$class:59 - Changing modify acls to: xuyi 
INFO  [2015-11-10 19:21:57,090] org.apache.spark.Logging$class:59 - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(xuyi); users with modify permissions: Set(xuyi) 
INFO  [2015-11-10 19:21:58,085] akka.event.slf4j.Slf4jLogger$$anonfun$receive$1:80 - Slf4jLogger started 
INFO  [2015-11-10 19:21:58,164] akka.event.slf4j.Slf4jLogger$$anonfun$receive$1$$anonfun$applyOrElse$3:74 - Starting remoting 
INFO  [2015-11-10 19:21:58,407] akka.event.slf4j.Slf4jLogger$$anonfun$receive$1$$anonfun$applyOrElse$3:74 - Remoting started; listening on addresses :[akka.tcp://sparkDriver@101.5.130.8:62653] 
INFO  [2015-11-10 19:21:58,418] org.apache.spark.Logging$class:59 - Successfully started service 'sparkDriver' on port 62653. 
INFO  [2015-11-10 19:21:58,452] org.apache.spark.Logging$class:59 - Registering MapOutputTracker 
INFO  [2015-11-10 19:21:58,478] org.apache.spark.Logging$class:59 - Registering BlockManagerMaster 
INFO  [2015-11-10 19:21:58,510] org.apache.spark.Logging$class:59 - Created local directory at /private/var/folders/8y/kx714lc54f35j1_vtqycjv5w0000gn/T/blockmgr-873228fd-4c49-4e82-9001-902bfe937b08 
INFO  [2015-11-10 19:21:58,535] org.apache.spark.Logging$class:59 - MemoryStore started with capacity 491.7 MB 
INFO  [2015-11-10 19:21:58,660] org.apache.spark.Logging$class:59 - HTTP File server directory is /private/var/folders/8y/kx714lc54f35j1_vtqycjv5w0000gn/T/spark-09ae75ba-6c15-4c0e-97c7-b8ae8b2a7f5b/httpd-09e84a5c-7661-4d81-876d-520f4a339a6b 
INFO  [2015-11-10 19:21:58,669] org.apache.spark.Logging$class:59 - Starting HTTP Server 
INFO  [2015-11-10 19:21:58,776] org.spark-project.jetty.server.Server:272 - jetty-8.y.z-SNAPSHOT 
INFO  [2015-11-10 19:21:58,813] org.spark-project.jetty.server.AbstractConnector:338 - Started SocketConnector@0.0.0.0:62654 
INFO  [2015-11-10 19:21:58,815] org.apache.spark.Logging$class:59 - Successfully started service 'HTTP file server' on port 62654. 
INFO  [2015-11-10 19:21:58,842] org.apache.spark.Logging$class:59 - Registering OutputCommitCoordinator 
INFO  [2015-11-10 19:21:59,115] org.apache.spark.Logging$class:59 - MapOutputTrackerMasterEndpoint stopped! 
INFO  [2015-11-10 19:21:59,124] org.apache.spark.Logging$class:59 - Successfully stopped SparkContext 
INFO  [2015-11-10 19:21:59,132] org.apache.spark.Logging$class:59 - Shutdown hook called 
INFO  [2015-11-10 19:21:59,137] org.apache.spark.Logging$class:59 - Shutdown hook called 
INFO  [2015-11-10 19:21:59,139] org.apache.spark.Logging$class:59 - Deleting directory /private/var/folders/8y/kx714lc54f35j1_vtqycjv5w0000gn/T/spark-09ae75ba-6c15-4c0e-97c7-b8ae8b2a7f5b/userFiles-bbd19975-de3e-494a-8ade-6efdfcc9ac3f 
INFO  [2015-11-10 19:21:59,140] org.apache.spark.Logging$class:59 - Deleting directory /private/var/folders/8y/kx714lc54f35j1_vtqycjv5w0000gn/T/spark-09ae75ba-6c15-4c0e-97c7-b8ae8b2a7f5b 
INFO  [2015-11-10 19:24:48,317] org.apache.spark.Logging$class:59 - Running Spark version 1.5.1 
INFO  [2015-11-10 19:24:49,481] org.apache.spark.Logging$class:59 - Changing view acls to: xuyi 
INFO  [2015-11-10 19:24:49,482] org.apache.spark.Logging$class:59 - Changing modify acls to: xuyi 
INFO  [2015-11-10 19:24:49,483] org.apache.spark.Logging$class:59 - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(xuyi); users with modify permissions: Set(xuyi) 
INFO  [2015-11-10 19:24:50,519] akka.event.slf4j.Slf4jLogger$$anonfun$receive$1:80 - Slf4jLogger started 
INFO  [2015-11-10 19:24:50,577] akka.event.slf4j.Slf4jLogger$$anonfun$receive$1$$anonfun$applyOrElse$3:74 - Starting remoting 
INFO  [2015-11-10 19:24:50,809] akka.event.slf4j.Slf4jLogger$$anonfun$receive$1$$anonfun$applyOrElse$3:74 - Remoting started; listening on addresses :[akka.tcp://sparkDriver@101.5.130.8:62748] 
INFO  [2015-11-10 19:24:50,816] org.apache.spark.Logging$class:59 - Successfully started service 'sparkDriver' on port 62748. 
INFO  [2015-11-10 19:24:50,848] org.apache.spark.Logging$class:59 - Registering MapOutputTracker 
INFO  [2015-11-10 19:24:50,868] org.apache.spark.Logging$class:59 - Registering BlockManagerMaster 
INFO  [2015-11-10 19:24:50,897] org.apache.spark.Logging$class:59 - Created local directory at /private/var/folders/8y/kx714lc54f35j1_vtqycjv5w0000gn/T/blockmgr-853b612b-cf83-4deb-9e10-a52d6d6fa1be 
INFO  [2015-11-10 19:24:50,916] org.apache.spark.Logging$class:59 - MemoryStore started with capacity 491.7 MB 
INFO  [2015-11-10 19:24:51,058] org.apache.spark.Logging$class:59 - HTTP File server directory is /private/var/folders/8y/kx714lc54f35j1_vtqycjv5w0000gn/T/spark-824c8abc-143a-44f5-9163-e39386bc668a/httpd-a011f3d6-a8ea-4a87-a1c8-91a18fc6ea89 
INFO  [2015-11-10 19:24:51,064] org.apache.spark.Logging$class:59 - Starting HTTP Server 
INFO  [2015-11-10 19:24:51,146] org.spark-project.jetty.server.Server:272 - jetty-8.y.z-SNAPSHOT 
INFO  [2015-11-10 19:24:51,179] org.spark-project.jetty.server.AbstractConnector:338 - Started SocketConnector@0.0.0.0:62749 
INFO  [2015-11-10 19:24:51,181] org.apache.spark.Logging$class:59 - Successfully started service 'HTTP file server' on port 62749. 
INFO  [2015-11-10 19:24:51,210] org.apache.spark.Logging$class:59 - Registering OutputCommitCoordinator 
INFO  [2015-11-10 19:24:51,478] org.apache.spark.Logging$class:59 - MapOutputTrackerMasterEndpoint stopped! 
INFO  [2015-11-10 19:24:51,488] org.apache.spark.Logging$class:59 - Successfully stopped SparkContext 
INFO  [2015-11-10 19:24:51,496] org.apache.spark.Logging$class:59 - Shutdown hook called 
INFO  [2015-11-10 19:24:51,500] org.apache.spark.Logging$class:59 - Shutdown hook called 
INFO  [2015-11-10 19:24:51,502] org.apache.spark.Logging$class:59 - Deleting directory /private/var/folders/8y/kx714lc54f35j1_vtqycjv5w0000gn/T/spark-824c8abc-143a-44f5-9163-e39386bc668a 
INFO  [2015-11-10 19:33:56,115] org.apache.spark.Logging$class:59 - Running Spark version 1.5.1 
INFO  [2015-11-10 19:33:57,290] org.apache.spark.Logging$class:59 - Changing view acls to: xuyi 
INFO  [2015-11-10 19:33:57,291] org.apache.spark.Logging$class:59 - Changing modify acls to: xuyi 
INFO  [2015-11-10 19:33:57,292] org.apache.spark.Logging$class:59 - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(xuyi); users with modify permissions: Set(xuyi) 
INFO  [2015-11-10 19:33:58,323] akka.event.slf4j.Slf4jLogger$$anonfun$receive$1:80 - Slf4jLogger started 
INFO  [2015-11-10 19:33:58,381] akka.event.slf4j.Slf4jLogger$$anonfun$receive$1$$anonfun$applyOrElse$3:74 - Starting remoting 
INFO  [2015-11-10 19:33:58,635] akka.event.slf4j.Slf4jLogger$$anonfun$receive$1$$anonfun$applyOrElse$3:74 - Remoting started; listening on addresses :[akka.tcp://sparkDriver@101.5.130.8:63178] 
INFO  [2015-11-10 19:33:58,642] org.apache.spark.Logging$class:59 - Successfully started service 'sparkDriver' on port 63178. 
INFO  [2015-11-10 19:33:58,673] org.apache.spark.Logging$class:59 - Registering MapOutputTracker 
INFO  [2015-11-10 19:33:58,696] org.apache.spark.Logging$class:59 - Registering BlockManagerMaster 
INFO  [2015-11-10 19:33:58,729] org.apache.spark.Logging$class:59 - Created local directory at /private/var/folders/8y/kx714lc54f35j1_vtqycjv5w0000gn/T/blockmgr-c61bc554-6faa-48dc-82d5-1164b4e5ddf6 
INFO  [2015-11-10 19:33:58,753] org.apache.spark.Logging$class:59 - MemoryStore started with capacity 491.7 MB 
INFO  [2015-11-10 19:33:58,900] org.apache.spark.Logging$class:59 - HTTP File server directory is /private/var/folders/8y/kx714lc54f35j1_vtqycjv5w0000gn/T/spark-530859b2-544a-46ea-a817-699d7fe3806c/httpd-5266bfd1-37a4-4cb6-8f1f-010b074c97f1 
